word1,word2,human,
disperse,give,5.15,NONE
seem,be,4.81,HYPER/HYPONYMS
sneeze,bless,0.33,NONE
discover,learn,6.81,SYNONYMS
sink,swim,1,ANTONYMS
seek,find,6.47,NONE
chase,run,5.64,NONE
increase,magnify,6.81,HYPER/HYPONYMS
dunk,sink,4.32,NONE
bother,nag,7.97,NONE
tell,respond,3.98,HYPER/HYPONYMS
reappear,show,4.81,COHYPONYMS
agree,please,5.48,NONE
create,destroy,1,NONE
learn,understand,6.31,NONE
explain,clarify,8.8,HYPER/HYPONYMS
attend,join,3.82,NONE
unite,tie,3.32,NONE
collect,accumulate,8.47,SYNONYMS
cuddle,hug,8.47,HYPER/HYPONYMS
seize,grasp,7.47,NONE
enter,participate,7.14,SYNONYMS
move,transplant,6.31,HYPER/HYPONYMS
drink,stir,1.33,NONE
hang,kill,4.32,HYPER/HYPONYMS
ask,plead,4.81,NONE
evaluate,determine,6.47,NONE
decompose,deteriorate,7.97,NONE
steal,abduct,5.64,NONE
break,restore,0.33,COHYPONYMS
obtain,receive,8.13,SYNONYMS
perceive,deceive,0.17,NONE
define,explain,8.3,NONE
hold,capture,7.97,HYPER/HYPONYMS
detach,tear,6.79,NONE
preview,watch,6.14,HYPER/HYPONYMS
lean,trim,2.41,NONE
stop,yield,5.48,NONE
chew,swallow,2.99,NONE
argue,yell,5.48,NONE
look,analyze,5.48,NONE
exchange,replace,6.14,HYPER/HYPONYMS
smash,hit,6.47,HYPER/HYPONYMS
hold,embrace,8.3,HYPER/HYPONYMS
grind,dance,4.81,HYPER/HYPONYMS
split,detach,5.31,NONE
buy,replace,4.32,NONE
snore,annoy,1.49,NONE
break,detach,6.14,HYPER/HYPONYMS
play,show,2.32,NONE
punish,hurt,4.98,NONE
hate,regret,1,NONE
analyze,criticize,5.31,NONE
win,succeed,8.47,SYNONYMS
fly,flutter,5.15,NONE
walk,wander,7.14,NONE
glow,shine,8.63,SYNONYMS
scold,reprimand,9.63,SYNONYMS
dig,bury,3.82,NONE
exhale,inhale,1,ANTONYMS
lay,relax,5.98,NONE
depart,leave,9.66,HYPER/HYPONYMS
forget,learn,0.5,NONE
toss,chuck,9.13,SYNONYMS
get,bring,3.62,SYNONYMS
help,please,2.49,NONE
slide,slither,6.47,SYNONYMS
refrain,keep,2.32,NONE
beat,fight,5.81,NONE
urge,desire,6.64,NONE
discourage,disappoint,3.98,NONE
soothe,hurt,0.5,NONE
fasten,snap,5.31,NONE
sink,fall,4.48,HYPER/HYPONYMS
give,award,6.31,HYPER/HYPONYMS
integrate,mix,6.81,HYPER/HYPONYMS
kill,crush,2.99,NONE
accuse,prosecute,5.48,NONE
spread,gather,0.66,ANTONYMS
accomplish,overcome,5.81,NONE
touch,grab,4.65,HYPER/HYPONYMS
grind,bump,3.82,COHYPONYMS
shake,stir,4.15,SYNONYMS
pick,pluck,5.98,SYNONYMS
return,come,3.02,COHYPONYMS
lift,push,1.99,COHYPONYMS
squeeze,play,0.66,NONE
vanish,disappear,9.46,SYNONYMS
betray,deceive,7.3,HYPER/HYPONYMS
persuade,convince,8.8,HYPER/HYPONYMS
give,exchange,3.15,COHYPONYMS
scare,shake,1.16,HYPER/HYPONYMS
flip,turn,6.31,HYPER/HYPONYMS
snap,crack,6.81,SYNONYMS
cheat,lose,1.16,NONE
see,acknowledge,5.64,NONE
return,retreat,6.31,COHYPONYMS
cheat,lie,5.15,NONE
pop,snap,4.48,COHYPONYMS
fall,catch,1,HYPER/HYPONYMS
see,glance,6.47,NONE
excuse,rationalize,5.15,SYNONYMS
decrease,diminish,7.97,SYNONYMS
deny,object,7.24,NONE
freeze,thaw,0,NONE
conquer,defeat,6.81,HYPER/HYPONYMS
discuss,debate,5.81,NONE
know,decide,2.99,NONE
snooze,nap,8.8,HYPER/HYPONYMS
believe,doubt,1,NONE
walk,stand,3.15,NONE
acknowledge,know,3.98,SYNONYMS
draw,write,4.98,HYPER/HYPONYMS
greet,introduce,6.49,NONE
overwhelm,overcome,2.72,SYNONYMS
refuse,deny,7.8,HYPER/HYPONYMS
accuse,frame,3.49,NONE
croak,die,7.97,SYNONYMS
wait,call,0.66,HYPER/HYPONYMS
play,practice,2.66,NONE
ascend,rise,8.96,HYPER/HYPONYMS
poise,stand,5.64,COHYPONYMS
hug,kiss,2.49,NONE
perceive,hear,4.15,HYPER/HYPONYMS
rationalize,talk,2.99,NONE
say,repeat,3.65,HYPER/HYPONYMS
stop,retain,2.32,ANTONYMS
run,sweat,3.32,NONE
flutter,move,5.98,HYPER/HYPONYMS
engage,start,5.81,NONE
recommend,advise,8.63,HYPER/HYPONYMS
delay,start,0.33,NONE
give,pay,4.81,HYPER/HYPONYMS
amaze,surprise,8.13,HYPER/HYPONYMS
glide,soar,7.47,HYPER/HYPONYMS
melt,boil,4.48,NONE
spend,buy,6.97,NONE
dislike,despise,8.63,HYPER/HYPONYMS
break,fix,1.16,ANTONYMS
give,demand,0.66,ANTONYMS
polish,rub,5.48,NONE
fail,succeed,1.49,ANTONYMS
conquer,beat,8.47,COHYPONYMS
smother,cover,7.14,HYPER/HYPONYMS
die,decay,5.98,COHYPONYMS
assume,think,5.15,COHYPONYMS
go,run,2.82,HYPER/HYPONYMS
walk,run,2.99,COHYPONYMS
walk,roam,5.98,NONE
wait,stand,2.82,NONE
preview,review,5.15,NONE
judge,accuse,4.32,NONE
understand,acknowledge,5.48,NONE
leave,wait,0.66,NONE
dance,flash,0.66,NONE
desire,want,9.46,SYNONYMS
convince,believe,5.15,NONE
run,move,6.31,HYPER/HYPONYMS
humiliate,degrade,8.63,HYPER/HYPONYMS
move,unload,4.15,HYPER/HYPONYMS
take,abduct,7.47,HYPER/HYPONYMS
accuse,lie,0.66,NONE
scramble,mix,7.14,COHYPONYMS
multiply,reproduce,8.13,HYPER/HYPONYMS
win,fail,0.33,ANTONYMS
insult,degrade,7.8,NONE
excuse,justify,5.15,HYPER/HYPONYMS
hate,disgust,4.98,NONE
hit,hurt,4.23,HYPER/HYPONYMS
succeed,excel,7.8,NONE
disappear,disintegrate,5.43,NONE
pay,raise,1.66,NONE
deny,stop,3.82,NONE
stand,sit,1.33,ANTONYMS
worry,think,2.57,HYPER/HYPONYMS
exist,be,8.47,SYNONYMS
tire,tread,1.99,NONE
swim,tread,4.65,NONE
lay,sit,2.99,HYPER/HYPONYMS
decompose,die,2.82,NONE
stay,sit,5.15,NONE
get,receive,7.97,HYPER/HYPONYMS
urge,convince,5.58,NONE
reappear,see,3.15,NONE
drain,sink,3.15,NONE
deliver,arrive,4.68,NONE
think,suppose,6.64,HYPER/HYPONYMS
discover,find,9.13,SYNONYMS
lift,raise,9.13,SYNONYMS
play,enjoy,4.98,COHYPONYMS
incline,lean,5.81,SYNONYMS
climb,descend,0.33,NONE
smear,smudge,8.13,SYNONYMS
mix,combine,8.13,SYNONYMS
advise,talk,4.81,HYPER/HYPONYMS
achieve,fail,0.15,NONE
obtain,take,7.64,HYPER/HYPONYMS
assume,predict,3.98,NONE
punch,slap,5.31,NONE
attach,combine,6.64,NONE
walk,tread,6.97,HYPER/HYPONYMS
learn,educate,3.49,HYPER/HYPONYMS
pull,grab,3.49,NONE
ascend,fall,0.66,ANTONYMS
defend,attack,1,ANTONYMS
build,restore,4.98,NONE
forget,remind,0.5,NONE
correct,disprove,2.26,NONE
drink,sip,7.64,HYPER/HYPONYMS
bound,jump,5.64,SYNONYMS
stare,watch,7.64,NONE
scramble,run,4.65,COHYPONYMS
beat,pelt,4.81,NONE
judge,criticize,5.98,NONE
save,protect,7.97,NONE
run,avoid,3.98,NONE
join,belong,5.98,NONE
cast,throw,4.98,SYNONYMS
aid,help,9.3,SYNONYMS
beware,warn,7.14,NONE
tie,fasten,7.8,HYPER/HYPONYMS
play,amuse,4.81,NONE
tell,renounce,1.66,NONE
disallow,allow,0.5,ANTONYMS
respect,adore,4.65,NONE
lick,bite,1.99,NONE
save,collect,4.65,NONE
announce,inform,7.8,HYPER/HYPONYMS
bring,forget,0.66,NONE
drink,pour,2.32,NONE
steal,kidnap,6.14,NONE
strip,tease,2.99,NONE
bother,annoy,8.96,SYNONYMS
take,unload,2.16,HYPER/HYPONYMS
alter,rearrange,6.31,NONE
vanish,disintegrate,6.64,NONE
stink,smell,8.63,HYPER/HYPONYMS
yearn,strive,5.15,NONE
ask,receive,0.5,NONE
wiggle,dance,5.15,NONE
carry,deliver,3.82,HYPER/HYPONYMS
repair,break,0.17,ANTONYMS
stop,interrupt,5.98,HYPER/HYPONYMS
move,advance,6.81,HYPER/HYPONYMS
limp,walk,3.82,HYPER/HYPONYMS
disgust,offend,8.3,HYPER/HYPONYMS
smother,kiss,2.66,NONE
break,escape,2.82,HYPER/HYPONYMS
keep,stay,3.15,HYPER/HYPONYMS
keep,take,2.66,HYPER/HYPONYMS
admire,respect,7.14,HYPER/HYPONYMS
slip,fall,6.94,NONE
release,press,0.83,NONE
participate,join,5.64,NONE
know,perceive,4.98,NONE
look,glare,5.15,HYPER/HYPONYMS
rebel,yell,1.81,NONE
wiggle,tickle,2.32,NONE
refuse,agree,0.66,NONE
spring,fall,1,NONE
save,accumulate,6.94,NONE
count,add,7.09,HYPER/HYPONYMS
hurt,betray,3.82,NONE
gain,obtain,7.64,HYPER/HYPONYMS
produce,make,8.9,HYPER/HYPONYMS
decline,advance,1.33,NONE
yield,wait,5.64,NONE
accumulate,grow,7.14,COHYPONYMS
give,take,1.49,ANTONYMS
deny,regret,1,NONE
watch,observe,9.46,HYPER/HYPONYMS
gain,achieve,5.15,NONE
hurt,slap,4.65,NONE
dismiss,release,5.81,NONE
perceive,see,7.97,HYPER/HYPONYMS
assault,kill,5.81,NONE
follow,search,2.49,NONE
see,preview,7.97,HYPER/HYPONYMS
reply,speak,5.48,NONE
suggest,talk,2.82,NONE
hate,glare,4.15,NONE
finish,graduate,5.31,NONE
stay,leave,0.17,ANTONYMS
calculate,compute,6.64,SYNONYMS
break,sprain,4.48,NONE
start,stop,0.33,ANTONYMS
broil,fry,3.32,NONE
cry,disappoint,1.16,NONE
fly,flap,4.32,NONE
elect,win,4.15,NONE
disappear,reappear,0.66,NONE
leave,avoid,3.65,NONE
preview,sneak,3.32,NONE
hunt,find,6.97,NONE
carry,haul,8.3,HYPER/HYPONYMS
aim,strive,7.8,NONE
crave,desire,8.63,HYPER/HYPONYMS
assault,fight,7.24,NONE
talk,sing,2.99,HYPER/HYPONYMS
demolish,smash,8.47,SYNONYMS
say,do,1.33,NONE
forbid,permit,0.66,ANTONYMS
stab,kill,4.81,NONE
refuse,decline,9.13,SYNONYMS
disown,leave,6.04,ANTONYMS
usurp,take,4.65,HYPER/HYPONYMS
know,comprehend,7.64,NONE
sing,dance,1.99,NONE
fight,defend,6.47,HYPER/HYPONYMS
deal,barter,7.3,NONE
repress,hold,5.81,HYPER/HYPONYMS
cough,swallow,1.99,NONE
scare,scream,2.49,NONE
give,deny,1.33,NONE
stop,ban,6.34,NONE
stop,refrain,6.47,NONE
acquire,ask,1.16,NONE
originate,discover,3.49,NONE
holler,scream,7.8,SYNONYMS
fight,argue,7.14,NONE
dump,throw,4.15,NONE
connect,attach,7.64,HYPER/HYPONYMS
rub,pat,5.31,NONE
hurt,stab,5.28,HYPER/HYPONYMS
allow,admit,7.64,HYPER/HYPONYMS
know,define,4.15,NONE
choke,kill,5.64,NONE
wreck,smash,8.3,NONE
correct,prove,3.98,NONE
take,get,4.81,HYPER/HYPONYMS
earn,make,5.98,SYNONYMS
bring,take,2.11,SYNONYMS
snuggle,cuddle,8.47,SYNONYMS
release,pardon,6.31,NONE
fill,pour,6.14,NONE
select,pick,9.63,HYPER/HYPONYMS
select,choose,9.13,SYNONYMS
hunt,shoot,7.14,NONE
enjoy,hate,0.17,ANTONYMS
stand,kneel,0.66,COHYPONYMS
judge,decide,6.81,HYPER/HYPONYMS
use,abuse,2.99,HYPER/HYPONYMS
kiss,embrace,6.31,NONE
beat,assault,7.8,NONE
bury,die,3.32,NONE
overpower,struggle,1.99,NONE
ban,forbid,9.13,HYPER/HYPONYMS
forget,know,1.16,NONE
pinch,bite,2.49,COHYPONYMS
stretch,reach,6.31,COHYPONYMS
conquer,divide,1,NONE
hear,listen,6.64,SYNONYMS
drag,haul,8.45,COHYPONYMS
spill,drink,1.49,NONE
ignore,neglect,8.96,SYNONYMS
avoid,neglect,5.31,NONE
wrap,foil,2.99,COHYPONYMS
need,want,1.99,SYNONYMS
give,keep,0.83,HYPER/HYPONYMS
imitate,mimic,9.63,HYPER/HYPONYMS
prove,convince,5.48,NONE
keep,reserve,6.81,HYPER/HYPONYMS
carry,lift,7.3,HYPER/HYPONYMS
decrease,descend,5.81,NONE
write,compose,6.81,SYNONYMS
show,see,5.15,NONE
relax,sit,4.48,NONE
create,design,8.13,HYPER/HYPONYMS
build,create,6.64,HYPER/HYPONYMS
tear,sob,5.31,COHYPONYMS
hurt,criticize,3.65,NONE
play,participate,4.81,COHYPONYMS
kill,smash,5.48,COHYPONYMS
do,accomplish,6.97,HYPER/HYPONYMS
shake,wag,5.81,HYPER/HYPONYMS
spill,splash,4.48,NONE
gather,meet,7.47,SYNONYMS
hold,cuddle,6.47,HYPER/HYPONYMS
decrease,reduce,9.63,HYPER/HYPONYMS
instruct,direct,6.47,HYPER/HYPONYMS
advise,tell,8.13,HYPER/HYPONYMS
divide,add,0,COHYPONYMS
shine,glare,3.65,HYPER/HYPONYMS
glide,float,5.48,COHYPONYMS
rebel,fight,6.47,NONE
sit,jump,1.33,NONE
evaluate,think,7.97,HYPER/HYPONYMS
move,crawl,3.65,HYPER/HYPONYMS
comfort,help,6.14,NONE
weep,cry,9.3,SYNONYMS
recommend,help,4.98,NONE
speak,whisper,5.15,HYPER/HYPONYMS
glow,burn,4.32,SYNONYMS
annihilate,destroy,8.8,NONE
erupt,blow,5.64,NONE
say,ask,4.15,HYPER/HYPONYMS
ask,want,3.15,COHYPONYMS
touch,rub,5.64,HYPER/HYPONYMS
attract,like,3.32,NONE
excuse,pardon,9.63,SYNONYMS
attend,participate,4.15,NONE
disintegrate,deteriorate,6.34,NONE
hug,embrace,8.63,SYNONYMS
look,listen,1.16,NONE
capture,seize,8.3,HYPER/HYPONYMS
complain,argue,5.31,NONE
hang,hold,3.82,HYPER/HYPONYMS
inquire,ask,8.47,SYNONYMS
acknowledge,show,2.82,NONE
pinch,hurt,5.64,NONE
pause,wait,8.8,HYPER/HYPONYMS
know,predict,3.49,NONE
defeat,overcome,6.81,SYNONYMS
shake,wiggle,6.31,HYPER/HYPONYMS
take,borrow,5.81,HYPER/HYPONYMS
trail,lead,2.32,NONE
hear,speak,1,NONE
use,borrow,3.65,NONE
vary,change,8.63,SYNONYMS
analyze,evaluate,8.13,NONE
run,roam,4.15,NONE
reach,get,6.81,HYPER/HYPONYMS
lose,keep,0,ANTONYMS
argue,demand,3.82,NONE
crunch,smash,6.81,NONE
stir,mix,8.3,NONE
reach,grasp,4.15,NONE
reject,take,0.33,ANTONYMS
prefer,choose,5.64,SYNONYMS
push,tug,0.66,SYNONYMS
hit,kick,4.65,HYPER/HYPONYMS
smear,spread,7.97,NONE
crash,demolish,5.15,NONE
gain,succeed,4.15,NONE
burn,cook,2.66,COHYPONYMS
strive,excel,5.15,NONE
destroy,perish,3.98,NONE
remain,leave,0.5,NONE
tear,sew,0.5,NONE
engage,begin,6.14,NONE
descend,come,2.82,SYNONYMS
neglect,forget,4.32,HYPER/HYPONYMS
believe,understand,3.98,HYPER/HYPONYMS
stay,retain,4.65,NONE
become,succeed,3.98,NONE
understand,realize,7.97,SYNONYMS
make,build,9.3,HYPER/HYPONYMS
erode,fade,5.89,NONE
laugh,chuck,2.49,NONE
touch,reach,3.65,SYNONYMS
cook,grill,6.64,HYPER/HYPONYMS
look,watch,8.3,NONE
laugh,cry,0,ANTONYMS
yield,give,6.31,SYNONYMS
take,refuse,1.66,ANTONYMS
tell,explain,6.64,HYPER/HYPONYMS
plead,beg,9.46,HYPER/HYPONYMS
want,beg,3.15,NONE
participate,say,3.82,NONE
allow,permit,9.63,SYNONYMS
erupt,burst,6.97,HYPER/HYPONYMS
capture,escape,0.5,NONE
beat,pounce,2.82,NONE
broil,boil,2.99,NONE
arrive,come,7.14,SYNONYMS
disown,forget,1.66,NONE
seize,stop,5.81,HYPER/HYPONYMS
request,want,6.47,HYPER/HYPONYMS
rush,hustle,6.97,NONE
admire,want,4.81,NONE
rescue,help,6.47,NONE
cry,worry,3.65,NONE
stop,repress,5.98,NONE
imagine,think,7.64,HYPER/HYPONYMS
control,run,1.36,HYPER/HYPONYMS
try,do,4.32,NONE
pull,tug,9.3,HYPER/HYPONYMS
beat,win,8.13,NONE
add,subtract,1.16,ANTONYMS
overpower,dominate,8.47,NONE
swoon,fall,5.64,NONE
realize,acknowledge,7.64,NONE
beg,steal,0.5,NONE
flex,bend,7.97,SYNONYMS
mistreat,abuse,8.96,SYNONYMS
toil,sweat,5.48,NONE
lose,compete,1.49,NONE
see,visit,6.14,SYNONYMS
decline,fall,6.31,HYPER/HYPONYMS
waste,save,1,NONE
worry,doubt,5.89,NONE
leave,stray,5.64,NONE
criticize,complain,4.81,NONE
show,tell,2.82,HYPER/HYPONYMS
understand,know,6.34,NONE
attend,miss,0.5,ANTONYMS
decline,deny,6.81,NONE
bound,tie,8.96,SYNONYMS
avoid,dislike,3.62,NONE
climb,hike,7.64,NONE
fall,jump,1.49,HYPER/HYPONYMS
like,prefer,8.8,HYPER/HYPONYMS
laugh,ridicule,4.65,NONE
show,direct,6.64,HYPER/HYPONYMS
stamp,collect,1.16,NONE
recommend,like,3.98,NONE
flee,run,8.3,HYPER/HYPONYMS
lend,borrow,3.49,ANTONYMS
criticize,argue,4.65,NONE
smother,hug,3.98,NONE
obtain,steal,3.98,NONE
catch,receive,6.97,COHYPONYMS
stare,glare,5.98,HYPER/HYPONYMS
stir,fry,1.83,NONE
talk,explain,5.98,NONE
perceive,get,3.98,HYPER/HYPONYMS
leave,walk,1.83,NONE
reappear,repeat,2.82,NONE
whip,hit,6.47,NONE
leave,release,3.49,NONE
rattle,shake,6.97,HYPER/HYPONYMS
promise,swear,8.3,HYPER/HYPONYMS
look,squint,4.81,HYPER/HYPONYMS
drink,swallow,4.98,COHYPONYMS
claim,say,5.81,HYPER/HYPONYMS
decide,think,4.65,NONE
guess,assume,6.64,NONE
catch,hold,4.32,HYPER/HYPONYMS
dismiss,leave,4.48,NONE
dash,run,8.3,NONE
remove,unload,5.81,HYPER/HYPONYMS
request,demand,4.48,HYPER/HYPONYMS
glide,slide,5.13,HYPER/HYPONYMS
sew,mend,7.14,NONE
steer,drive,5.98,NONE
adjourn,dismiss,5.98,NONE
search,find,4.81,NONE
pray,ask,3.82,NONE
steal,poach,6.31,NONE
forget,dismiss,5.81,NONE
compose,decompose,1.16,NONE
drown,sink,2.99,NONE
search,hunt,7.47,HYPER/HYPONYMS
finish,solve,5.98,NONE
amuse,laugh,7.3,NONE
remember,think,3.49,SYNONYMS
grow,learn,5.98,NONE
argue,prove,3.49,NONE
design,decorate,5.15,NONE
think,calculate,6.64,HYPER/HYPONYMS
prohibit,refuse,6.31,NONE
retain,save,7.3,COHYPONYMS
catch,throw,1.99,NONE
advise,teach,6.31,COHYPONYMS
obtain,hold,5.31,SYNONYMS
whip,cook,2.16,NONE
sing,scream,2.49,NONE
dance,swing,4.15,NONE
despair,dismay,5.98,NONE
swing,hang,3.82,HYPER/HYPONYMS
dismiss,push,1.99,NONE
hide,appear,0.5,NONE
spend,pay,6.64,HYPER/HYPONYMS
walk,follow,2.82,COHYPONYMS
change,remain,0.5,ANTONYMS
discourage,hate,2.99,NONE
hamper,hurt,4.53,NONE
persuade,beg,5.31,NONE
weave,spin,4.32,COHYPONYMS
help,use,1.16,HYPER/HYPONYMS
irritate,nag,6.64,NONE
restore,replace,4.32,COHYPONYMS
help,concern,3.49,NONE
abduct,capture,7.8,NONE
crunch,destroy,3.65,NONE
stay,attend,2.32,NONE
set,prepare,4.98,SYNONYMS
struggle,hurt,1.66,NONE
pinch,grab,4.65,NONE
upset,offend,8.63,NONE
choose,predict,4.32,NONE
move,tend,1.66,NONE
strip,drag,1.16,NONE
find,disappear,0.5,NONE
break,deteriorate,5.31,COHYPONYMS
travel,hike,4.98,HYPER/HYPONYMS
yell,complain,5.15,NONE
restore,mend,9.13,SYNONYMS
excel,drive,2.16,NONE
live,perish,1,NONE
reel,pull,5.98,NONE
pinch,dash,1.66,NONE
offend,annoy,4.32,NONE
release,take,1.49,NONE
exchange,change,5.15,SYNONYMS
define,say,3.82,NONE
hear,repeat,0.66,NONE
scream,squeak,4.32,NONE
lower,kneel,2.99,NONE
waste,deteriorate,6.64,HYPER/HYPONYMS
give,borrow,2.66,NONE
compose,originate,5.15,COHYPONYMS
happen,appear,1.83,HYPER/HYPONYMS
deliver,save,1,HYPER/HYPONYMS
incline,suggest,4.81,NONE
call,reply,3.32,NONE
crunch,crush,6.31,NONE
cough,yawn,1.66,NONE
recycle,use,2.99,HYPER/HYPONYMS
refuse,dislike,4.65,NONE
soothe,rub,3.65,NONE
punish,obey,0.33,NONE
capture,get,4.98,SYNONYMS
irritate,scratch,5.15,HYPER/HYPONYMS
sneak,look,3.65,NONE
presume,suppose,8.3,HYPER/HYPONYMS
beat,blend,4.15,NONE
tan,blush,1.16,COHYPONYMS
examine,study,8.3,SYNONYMS
add,attach,7.3,NONE
punch,strike,7.47,NONE
deteriorate,dissolve,7.47,NONE
change,convince,3.98,NONE
reap,prosper,5.64,NONE
spank,whip,4.83,NONE
calculate,subtract,3.65,HYPER/HYPONYMS
look,inquire,5.13,NONE
blame,forgive,1,NONE
accept,deliver,1.66,NONE
strive,survive,2.66,NONE
spring,fling,4.32,NONE
defend,kill,2.49,NONE
fly,cruise,2.57,COHYPONYMS
let,forbid,0.5,ANTONYMS
breathe,sneeze,2.32,NONE
tend,fix,3.32,NONE
stop,warn,3.47,NONE
drive,veer,3.49,NONE
disown,neglect,4.81,NONE
explode,erode,2.82,NONE
stop,hurt,0.5,NONE
snatch,catch,3.32,COHYPONYMS
hope,need,1.99,NONE
boil,freeze,0,ANTONYMS
destroy,seek,0.17,NONE
develop,begin,3.98,NONE
disintegrate,burn,4.48,COHYPONYMS
walk,wiggle,1.16,NONE
holler,roar,7.8,HYPER/HYPONYMS
teach,know,3.82,NONE
catch,obtain,5.81,COHYPONYMS
smell,spoil,0.5,NONE
squint,stare,4.15,COHYPONYMS
spell,define,3.49,NONE
choose,want,2.99,NONE
examine,observe,7.97,HYPER/HYPONYMS
object,disagree,7.85,COHYPONYMS
hate,deceive,2.49,NONE
blame,ridicule,3.65,NONE
die,slay,1.99,NONE
deny,request,0.33,NONE
remind,say,3.32,NONE
operate,do,5.81,NONE
fail,miss,7.3,HYPER/HYPONYMS
fold,wrap,4.68,NONE
charge,accuse,6.31,HYPER/HYPONYMS
cough,sniff,3.32,NONE
enrage,upset,8.13,NONE
destroy,fix,0.5,NONE
annoy,tease,5.98,HYPER/HYPONYMS
hate,reject,5.31,NONE
cry,punish,1.16,NONE
decrease,shrink,7.14,HYPER/HYPONYMS
accept,recommend,1,NONE
flex,relax,0.66,NONE
shift,drive,3.15,COHYPONYMS
disperse,sow,5.31,HYPER/HYPONYMS
chew,grind,6.31,HYPER/HYPONYMS
confuse,help,0.5,NONE
fight,abuse,5.31,NONE
give,decline,0.33,NONE
leave,join,0.17,NONE
scare,jump,2.66,NONE
blame,push,1,NONE
hang,fall,0.5,SYNONYMS
persuade,argue,5.31,NONE
hurt,kill,4.81,HYPER/HYPONYMS
capture,chase,2.16,NONE
go,command,0.66,NONE
scramble,change,1.81,HYPER/HYPONYMS
get,conquer,3.65,NONE
purchase,acquire,8,HYPER/HYPONYMS
shove,kick,2.66,NONE
roam,search,4.81,NONE
evacuate,escape,7.3,NONE
embarrass,ridicule,7.47,NONE
keep,capture,5.81,NONE
treat,pounce,1.81,NONE
attach,join,7.47,COHYPONYMS
touch,push,4.15,HYPER/HYPONYMS
stop,freeze,6.31,NONE
justify,judge,1.99,NONE
lead,ask,1.16,NONE
taste,swallow,4.48,NONE
advance,achieve,5.48,NONE
humiliate,ridicule,8.3,NONE
ask,recall,2.99,HYPER/HYPONYMS
ridicule,hate,4.65,NONE
remove,ban,5.48,NONE
live,move,0.66,HYPER/HYPONYMS
analyze,define,4.15,NONE
move,scramble,5.15,HYPER/HYPONYMS
confess,talk,4.07,NONE
freeze,burn,1.33,COHYPONYMS
hope,rely,3.65,NONE
refuse,give,0.5,NONE
hang,condemn,4.15,NONE
throw,move,3.15,HYPER/HYPONYMS
guess,choose,3.49,NONE
recycle,waste,0.45,COHYPONYMS
spoil,toil,1.49,NONE
advise,warn,6.14,HYPER/HYPONYMS
strike,miss,1.83,ANTONYMS
travel,come,3.47,HYPER/HYPONYMS
fly,swim,0.33,COHYPONYMS
cook,stew,4.65,HYPER/HYPONYMS
beat,triumph,5.31,NONE
scream,scold,4.65,NONE
ride,run,4.15,HYPER/HYPONYMS
ridicule,bother,1.83,NONE
insult,rip,3.15,NONE
adjourn,judge,1.99,NONE
lift,tow,2.16,NONE
have,acquire,4.15,HYPER/HYPONYMS
rob,give,0.17,NONE
determine,set,4.98,SYNONYMS
pinch,prick,5.31,NONE
grow,increase,8.63,HYPER/HYPONYMS
become,seem,1.83,NONE
bother,ignore,0.83,NONE
go,drive,5.31,HYPER/HYPONYMS
bother,frustrate,7.3,HYPER/HYPONYMS
aim,hit,2.99,NONE
change,stay,0.5,ANTONYMS
suck,sip,4.15,COHYPONYMS
weave,move,3.15,HYPER/HYPONYMS
refrain,repress,4.48,NONE
shift,turn,4.32,COHYPONYMS
lay,incline,4.98,NONE
describe,say,3.77,NONE
try,think,3.49,HYPER/HYPONYMS
remain,retain,4.48,NONE
wash,wear,0.66,NONE
lie,pretend,6.14,NONE
suggest,inquire,1.99,NONE
sprinkle,dash,1.99,NONE
rip,destroy,7.3,NONE
direct,help,3.32,NONE
speak,suggest,4.48,NONE
inform,instruct,7.55,HYPER/HYPONYMS
teach,punish,1.66,NONE
connect,touch,5.98,HYPER/HYPONYMS
go,disperse,5.64,NONE
fix,set,4.48,HYPER/HYPONYMS
erode,spoil,2.32,NONE
wiggle,jerk,3.98,NONE
drip,fall,1.66,HYPER/HYPONYMS
ache,soothe,0.83,NONE
detach,release,8.63,NONE
spare,strike,1.33,NONE
affect,hurt,2.82,NONE
control,barter,1.16,NONE
laugh,entertain,3.98,NONE
smear,blend,3.65,NONE
scream,cry,4.48,SYNONYMS
result,happen,5.43,HYPER/HYPONYMS
snap,crunch,5.64,NONE
disappear,shrink,3.15,NONE
express,explain,5.81,HYPER/HYPONYMS
protect,keep,3.98,HYPER/HYPONYMS
pounce,surprise,4.53,NONE
be,attend,3.65,HYPER/HYPONYMS
prosecute,blame,4.48,NONE
acknowledge,respond,6.97,HYPER/HYPONYMS
drive,desire,1.83,NONE
remove,loosen,3.32,NONE
lift,hold,3.82,HYPER/HYPONYMS
set,lay,6.14,SYNONYMS
blame,hurt,2.57,NONE
control,capture,4.65,NONE
raise,rise,7.3,NONE
plead,convince,4.81,NONE
beat,mix,5.64,NONE
grab,squeeze,4.32,NONE
erode,decompose,7.3,NONE
beat,spank,7.3,HYPER/HYPONYMS
vacate,evacuate,7.3,NONE
surprise,guess,1.49,NONE
foil,cover,1.66,HYPER/HYPONYMS
look,read,4.48,NONE
smell,decompose,2.99,NONE
hurt,bump,2.49,NONE
drip,melt,4.98,NONE
leave,appear,0.66,NONE
please,entertain,5.15,NONE
enter,escape,1.16,NONE
overpower,conquer,7.97,NONE
overcome,go,3.65,NONE
go,sneak,1.83,HYPER/HYPONYMS
doze,snore,5.31,NONE
squeal,hurt,2.49,NONE
